destSlug,fieldPath,oldUrl,newUrl,confidence,provider,dryRun,appliedAt
kanatal,topPlaces[7].photos[0],https://images.pexels.com/photos/37911658/pexels-photo-37911658.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1608942025318-1191eeade556?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8TmFnJTIwVGliYmElMjBUcmVrJTIwVXR0YXJha2hhbmQlMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0MzcxfDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:17:58.998Z
kanatal,topPlaces[7].photos[1],https://images.pexels.com/photos/37898606/pexels-photo-37898606.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1689676474552-3c5df0ec6b56?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8TmFnJTIwVGliYmElMjBUcmVrJTIwVXR0YXJha2hhbmQlMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0MzcxfDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:17:59.022Z
kanatal,topPlaces[7].photos[2],https://images.pexels.com/photos/37911660/pexels-photo-37911660.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1608497582272-627e105265ab?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8M3x8TmFnJTIwVGliYmElMjBUcmVrJTIwVXR0YXJha2hhbmQlMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0MzcxfDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:17:59.046Z
kanatal,topPlaces[8].image,https://images.pexels.com/photos/16090413/pexels-photo-16090413.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1670563545031-2266dec5a0bf?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8VGVocmklMjBEYW0lMjBWaWV3cG9pbnQlMjBVdHRhcmFraGFuZCUyMEluZGlhfGVufDB8MHx8fDE3ODcwNzQzNzV8MA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:00.073Z
kanatal,topPlaces[8].photos[1],https://images.pexels.com/photos/32126841/pexels-photo-32126841.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1603474203129-fc5763b04ef5?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8VGVocmklMjBEYW0lMjBWaWV3cG9pbnQlMjBVdHRhcmFraGFuZCUyMEluZGlhfGVufDB8MHx8fDE3ODcwNzQzNzV8MA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:00.100Z
kanatal,topPlaces[9].photos[0],https://images.pexels.com/photos/36908033/pexels-photo-36908033.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1667694140865-0afefb32e6e6?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8S2F1ZGlhJTIwRm9yZXN0JTIwWmlwbGluZSUyMFV0dGFyYWtoYW5kJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDM3OXww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:01.372Z
kanatal,topPlaces[9].photos[1],https://images.pexels.com/photos/36096938/pexels-photo-36096938.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1722705201945-5cdcb86e59ac?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8S2F1ZGlhJTIwRm9yZXN0JTIwWmlwbGluZSUyMFV0dGFyYWtoYW5kJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDM3OXww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:01.396Z
kanatal,topPlaces[9].photos[2],https://images.pexels.com/photos/33452256/pexels-photo-33452256.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1742281415980-136b65d3724b?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8M3x8S2F1ZGlhJTIwRm9yZXN0JTIwWmlwbGluZSUyMFV0dGFyYWtoYW5kJTIwSW5kaWF8ZW58MHwwfHx8MTc4NzA3NDM3OXww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:18:01.420Z
kanatal,topPlaces[10].photos[0],https://images.pexels.com/photos/36908076/pexels-photo-36908076.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/36908076/pexels-photo-36908076.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:18:03.327Z
kanatal,topPlaces[10].photos[1],https://images.pexels.com/photos/36908071/pexels-photo-36908071.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/36908071/pexels-photo-36908071.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:18:03.351Z
